Model (Training Iterations): 100, Average Efficiency: 0.0
Model (Training Iterations): 200, Average Efficiency: 0.0
Model (Training Iterations): 300, Average Efficiency: 2.57
Model (Training Iterations): 400, Average Efficiency: 13.14
Model (Training Iterations): 500, Average Efficiency: 11.82
Model (Training Iterations): 600, Average Efficiency: 10.17
Model (Training Iterations): 700, Average Efficiency: 11.36
Model (Training Iterations): 800, Average Efficiency: 11.81
Model (Training Iterations): 900, Average Efficiency: 11.38
Model (Training Iterations): 1000, Average Efficiency: 12.21
Model (Training Iterations): 1100, Average Efficiency: 12.45
Model (Training Iterations): 1200, Average Efficiency: 12.69
Model (Training Iterations): 1300, Average Efficiency: 12.48
Model (Training Iterations): 1400, Average Efficiency: 12.52
Model (Training Iterations): 1500, Average Efficiency: 12.98
Model (Training Iterations): 1600, Average Efficiency: 13.35
Model (Training Iterations): 1700, Average Efficiency: 13.94
Model (Training Iterations): 1800, Average Efficiency: 14.8
Model (Training Iterations): 1900, Average Efficiency: 16.31
Model (Training Iterations): 2000, Average Efficiency: 20.46
